mac_fill,flood_pressure,avg_age
0.8,1.0,0.1183
0.8,1.0,0.1231
0.8,1.0,0.125
0.8,1.0,0.13
0.8,1.0,0.0992
0.8,1.0,0.1042
0.8,1.0,0.1092
0.8,1.0,0.1142
0.8,1.0,0.1192
0.8,1.0,0.1242
0.8,1.0,0.1292
0.8,1.0,0.0536
0.8,1.0,0.0586
0.8,1.0,0.0636
0.8,1.0,0.0686
0.8,1.0,0.0736
0.8,1.0,0.0786
0.8,1.0,0.0836
0.8,1.0,0.0886
0.8,1.0,0.0936
0.8,1.0,0.0986
0.8,1.0,0.1036
0.8,1.0,0.1119
0.8,1.0,0.1169
0.8,1.0,0.1203
0.8,1.0,0.1253
0.8,1.0,0.1303
0.8,1.0,0.1353
0.8,1.0,0.1403
0.8,1.0,0.1453
0.8,1.0,0.1503
0.8,1.0,0.1553
0.8,1.0,0.1603
0.8,1.0,0.1653
0.8,1.0,0.1703
0.8,1.0,0.1753
0.8,1.0,0.1803
0.8,1.0,0.1853
0.8,1.0,0.1903
0.8,1.0,0.1953
0.8,1.0,0.2003
0.8,1.0,0.2053
0.8,1.0,0.2103
0.8,1.0,0.2153
0.8,1.0,0.2203
0.8,1.0,0.2253
0.8,1.0,0.2303
0.8,1.0,0.2353
0.8,1.0,0.2403
0.8,1.0,0.2453
0.8,1.0,0.2503
0.8,1.0,0.2553
0.8,1.0,0.2603
0.8,1.0,0.2653
0.8,1.0,0.2703
0.8,1.0,0.2753
0.8,1.0,0.2803
0.8,1.0,0.2853
0.8,1.0,0.2903
0.8,1.0,0.2953
0.8,1.0,0.2456
0.8,1.0,0.2506
0.8,1.0,0.2556
0.8,1.0,0.2606
0.8,1.0,0.2656
0.8,1.0,0.2075
0.8,1.0,0.2125
0.8,1.0,0.2175
0.8,1.0,0.2225
0.8,1.0,0.2275
0.8,1.0,0.2308
0.8,1.0,0.2342
0.8,1.0,0.2392
0.8,1.0,0.2442
0.8,1.0,0.2492
0.8,1.0,0.2542
0.8,1.0,0.1925
0.8,1.0,0.1975
0.8,1.0,0.2025
0.8,1.0,0.2075
0.8,1.0,0.2125
0.8,1.0,0.2175
0.8,1.0,0.2225
0.8,1.0,0.2275
0.8,1.0,0.2325
0.8,1.0,0.2375
0.8,1.0,0.2425
0.8,1.0,0.2475
0.8,1.0,0.2525
0.8,1.0,0.2575
0.8,1.0,0.2625
0.8,1.0,0.2675
0.8,1.0,0.2725
0.8,1.0,0.2036
0.8,1.0,0.2086
0.8,1.0,0.2136
0.8,1.0,0.2219
0.8,1.0,0.2269
0.8,1.0,0.1592
0.8,1.0,0.1642
0.8,1.0,0.6333
0.8,0.642,0.6433
0.8,0.5742,0.6533
0.8,0.5974,0.6633
0.8,0.6199,0.6733
0.8,0.5093,0.6833
0.8,0.5743,0.6933
0.8,0.5965,0.7033
0.8,1.0,0.7133
0.8,1.0,0.7233
0.8,1.0,0.7333
0.8,0.5082,0.7433
0.8,0.5767,0.7533
0.8,0.5979,0.7633
0.8,0.4426,0.7733
0.8,0.4639,0.7833
0.8,0.4878,0.7933
0.8,0.5091,0.8033
0.8,0.576,0.8133
0.8,0.5952,0.8233
0.8,0.3536,0.8333
0.8,0.3765,0.8433
0.8,0.3972,0.8533
0.8,0.3756,0.8633
0.8,0.5758,0.8733
0.8,0.4643,0.8867
0.8,0.7541,0.8967
0.8,0.8394,0.9067
0.8,0.8645,0.9167
0.8,0.5989,0.9267
0.8,0.5743,0.9367
0.8,0.5973,0.9467
0.8,0.6623,0.9567
0.8,0.9089,0.9667
0.8,0.9292,0.9767
0.8,0.1552,0.9867
0.8,0.1771,0.9967
0.7333,0.1549,0.8967
0.7333,0.1326,0.9067
0.7333,0.155,0.9167
0.7333,0.2215,0.9267
0.7333,0.4652,0.9367
0.7333,0.4434,0.9467
0.7333,0.7762,0.9567
0.7333,0.7084,0.9667
0.7333,0.9524,0.9767
0.7333,1.0,0.9867
0.7333,0.464,0.9967
0.6667,0.6424,0.9533
0.6667,0.5766,0.9633
0.6667,0.2434,0.9733
0.6667,0.1773,0.9833
0.6667,0.1109,0.9933
0.5333,0.6181,0.8933
0.5333,0.8645,0.9033
0.5333,1.0,0.9133
0.5333,0.155,0.9233
0.5333,0.2207,0.9333
0.5333,0.1992,0.9433
0.5333,0.133,0.9533
0.5333,0.288,0.9633
0.5333,0.2204,0.9733
0.5333,0.5545,0.9833
0.5333,0.7513,0.9933
0.4667,0.9059,0.8933
0.4667,0.798,0.9033
0.4667,0.9923,0.9133
0.4667,1.0,0.9233
0.4667,0.3323,0.9333
0.4667,0.3972,0.9433
0.4667,0.3309,0.9533
0.4667,0.4427,0.9633
0.4667,0.5954,0.9733
0.5333,0.5958,0.9833
0.5333,0.5517,0.9933
0.4667,0.5294,0.02
0.4667,0.5544,0.03
0.4667,0.3531,0.04
0.4667,0.3314,0.05
0.4667,0.3532,0.06
0.4667,0.1987,0.07
0.4667,0.2215,0.08
0.4667,0.1553,0.09
0.4667,0.309,0.1
0.4667,0.4212,0.11
0.4667,0.6179,0.12
0.4667,0.1545,0.13
0.4667,0.2215,0.14
0.4667,0.2437,0.15
0.4667,0.4197,0.16
0.4667,0.6428,0.1733
0.4667,0.8395,0.1833
0.4667,0.2433,0.1933
0.4667,0.4418,0.2033
0.4667,0.3767,0.2133
0.4667,0.4414,0.2233
0.4667,0.5959,0.2333
0.4667,0.7984,0.2433
0.4667,0.5074,0.2533
0.4667,0.7539,0.2633
